batter,outcome,outcome
Ambati Rayudu,0,4
Ambati Rayudu,1,6
Ambati Rayudu,6,1
Ambati Rayudu,w,1
Ben S,0,1
Ben S,1,3
Ben S,4,1
Ben S,w,1
Devon Conway,0,3
Devon Conway,1,1
Devon Conway,1lb,1
Devon Conway,w,1
MS Dhoni,0,1
MS Dhoni,1,4
MS Dhoni,4,1
MS Dhoni,6,1
Mitchell Santner,0,1
Mitchell Santner,1,1
Mitchell Santner,1lb,1
Moeen Ali,0,9
Moeen Ali,1,1
Moeen Ali,1nb,1
Moeen Ali,4,4
Moeen Ali,6,1
Moeen Ali,w,1
Ravindra Jadeja,1,1
Ravindra Jadeja,w,1
Ruturaj Gaikwad,0,15
Ruturaj Gaikwad,1,20
Ruturaj Gaikwad,2,1
Ruturaj Gaikwad,4,4
Ruturaj Gaikwad,6,9
Ruturaj Gaikwad,w,1
Shivam Dube,0,4
Shivam Dube,1,7
Shivam Dube,1b,1
Shivam Dube,2,3
Shivam Dube,4lb,1
Shivam Dube,6,1
Shivam Dube,w,1
